id,age,critical_point,crossing,crossing_point,exp_start_point,gender,intention_prob,intersection,num_lanes,signalized,traffic_direction
68,2,12278,1,12282,12188,2,0.95,1,4,3,1
69,2,12253,1,12256,12163,2,0.9333333333,1,4,3,1
70,2,10437,1,10443,10404,1,0.9666666667,4,2,3,0
77,2,370,0,401,203,2,0.8333333333,4,4,3,1
78,2,360,0,386,270,2,0.6666666667,4,4,3,1
79,2,704,0,721,612,2,0.9333333333,4,4,0,1
80,2,2885,1,2915,2731,1,0.9166666667,4,4,3,1
81,2,3622,-1,3701,3532,1,0.3666666667,0,4,0,1
82,2,3716,-1,3820,3626,2,0.2333333333,0,4,0,1
83,2,3648,-1,3723,3558,2,0.2,0,4,0,1
84,2,3684,-1,3762,3593,2,0.3666666667,0,4,0,1
85,2,3715,-1,3785,3626,2,0.5,0,4,0,1
86,2,3698,-1,3720,3608,1,0.0833333333,0,4,0,1
87,2,9885,1,9898,9795,1,0.9666666667,1,2,3,0
88,2,10839,-1,10861,10749,2,0.15,0,2,0,0
89,2,386,0,413,308,2,0.9666666667,4,4,3,1
90,2,856,-1,878,782,1,0.0,0,4,0,1
91,2,9885,1,9902,9795,2,0.9,1,2,3,0
92,2,9820,1,9966,9730,1,0.9666666667,1,2,3,0
93,2,9900,1,9922,9810,1,0.9833333333,1,2,3,0
94,2,9913,1,9937,9823,2,0.95,1,2,3,0
95,2,9861,1,9874,9771,2,0.9833333333,1,2,3,0
96,2,11646,1,11660,11556,1,1.0,3,2,1,0
97,2,9547,1,9548,9457,1,1.0,1,2,3,0
98,2,12475,-1,12518,12385,2,0.2333333333,0,2,0,0
99,2,12838,-1,12903,12749,2,0.2666666667,2,2,0,0
100,2,13074,1,13052,13034,1,0.9,0,2,0,0
101,2,13098,1,13086,13057,2,0.9166666667,0,2,0,0
102,2,13782,1,13777,13692,2,0.6666666667,0,2,0,0
103,2,14968,-1,15055,14899,1,0.65,3,4,1,0
104,3,11878,-1,11929,11788,2,0.1666666667,0,2,0,0
105,2,13223,1,13225,13175,2,0.7166666667,2,2,0,0
106,2,14198,-1,14354,14108,2,0.3833333333,0,2,0,0
107,2,15965,-1,16003,15866,2,0.45,0,2,0,0
108,2,15965,-1,16001,15866,1,0.6833333333,0,2,0,0
109,2,15735,1,15781,15712,1,0.85,2,2,0,0
110,2,15756,1,15768,15713,1,1.0,2,2,0,0
111,2,16427,1,16420,16360,1,0.8833333333,3,2,3,0
112,2,16439,1,16445,16349,1,0.8,3,2,3,0
113,2,16748,-1,16808,16658,2,0.2833333333,0,2,0,0
114,2,17643,-1,17748,17553,2,0.8833333333,4,2,3,0
115,2,17786,0,17815,17696,2,0.95,4,2,3,0
116,2,17787,0,17819,17697,1,0.95,4,2,3,0
117,2,17623,1,17661,17585,2,0.9666666667,4,2,3,0
118,3,17805,-1,17836,17715,1,0.45,4,4,3,0
119,2,11436,1,11442,11346,2,0.9166666667,3,2,1,0
120,2,4729,-1,4804,4617,2,0.6833333333,0,4,0,1
121,2,9832,1,9904,9732,1,0.9666666667,1,2,3,0
122,2,13127,-1,13172,13037,2,0.3333333333,0,2,0,0
127,2,450,0,497,360,1,1.0,4,2,3,0
128,2,1885,0,1937,1795,2,1.0,1,4,3,1
129,2,3482,0,3531,3392,1,0.9,4,4,3,1
130,2,3477,0,3521,3387,1,0.8,4,4,3,1
131,2,7218,1,7236,7128,2,1.0,4,2,3,0
132,2,7835,-1,7977,7697,2,0.9333333333,4,2,3,1
133,2,1444,1,1525,1376,1,0.9333333333,1,2,3,0
134,2,318,1,314,228,1,0.9,4,2,3,1
