video,frame,GPS_speed,OBD_speed,accX,accY,accZ,gyroX,gyroY,gyroZ,heading_angle,latitude,longitude,pitch,roll,yaw
video_0001,17,0.3588494706382974,0.0,-0.065,0.855,0.255,0.31,-0.03,-0.125,132.44,43.6829646192601,-79.420486557741,0.201,6.174,2.8
video_0001,18,0.14484096,0.0,-0.09,0.85,0.24,1.0,-0.75,-0.25,132.44,43.6829645,-79.420486333,0.201,6.174,2.8
video_0001,19,0.11265408000000002,0.0,-0.09,0.85,0.24,1.0,-0.75,-0.25,132.44,43.682964167,-79.420486,0.201,6.174,2.8
video_0001,20,0.11265408000000002,0.0,-0.09,0.85,0.24,1.0,-0.75,-0.25,132.44,43.682964167,-79.420486,0.201,6.174,2.8
video_0001,21,0.11265408000000002,0.0,-0.09,0.85,0.24,1.0,-0.75,-0.25,132.44,43.682964167,-79.420486,0.201,6.174,2.8
video_0001,22,0.04828032,0.0,-0.04,0.86,0.27,-0.38,0.94,0.25,132.44,43.682964,-79.420486,0.202,6.174,2.8
video_0001,23,0.04828032,0.0,-0.06,0.86,0.255,-0.035,0.0649999999999999,-0.125,132.44,43.682964,-79.420486,0.202673076923077,6.174,2.795
video_0001,24,0.04828032,0.0,-0.08,0.86,0.24,0.31,-0.81,-0.5,132.44,43.682964,-79.420486,0.203,6.174,2.79
video_0001,25,0.33796224,0.0,-0.08,0.86,0.24,0.31,-0.81,-0.5,132.44,43.682963667,-79.420486167,0.203,6.174,2.79
video_0001,26,0.33796224,0.0,-0.065,0.855,0.235,0.345,-0.125,-0.22,132.44,43.682963667,-79.420486167,0.2035,6.174,2.79
video_0001,27,0.33796224,0.0,-0.05,0.85,0.23,0.38,0.56,0.06,132.44,43.682963667,-79.420486167,0.204,6.174,2.79
video_0001,28,0.14484096,0.0,-0.05,0.85,0.23,0.38,0.56,0.06,132.44,43.682963333,-79.420485833,0.204,6.174,2.79
video_0001,29,0.14484096,0.0,-0.04,0.845,0.235,0.44,1.06,0.34,132.44,43.682963333,-79.420485833,0.204,6.1745,2.79
video_0001,30,0.14484096,0.0,-0.03,0.84,0.24,0.5,1.56,0.62,132.44,43.682963333,-79.420485833,0.204,6.175,2.79
video_0001,31,0.17702784000000002,0.0,-0.03,0.84,0.24,0.5,1.56,0.62,132.44,43.682963167,-79.420485333,0.204,6.175,2.79
video_0001,32,0.17702784000000002,0.0,-0.035,0.845,0.25,0.25,0.47,0.12,132.44,43.682963167,-79.420485333,0.2045,6.1745,2.79
video_0001,33,0.17702784000000002,0.0,-0.04,0.85,0.26,0.0,-0.62,-0.38,132.44,43.682963167,-79.420485333,0.205,6.174,2.79
video_0001,34,0.30577536000000005,0.0,-0.04,0.85,0.26,0.0,-0.62,-0.38,132.44,43.682962833,-79.420485,0.205,6.174,2.79
video_0001,35,0.30577536000000005,0.0,-0.04,0.85,0.25,0.03,0.565,0.155,132.44,43.682962833,-79.420485,0.2055,6.1745,2.79
video_0001,36,0.30577536000000005,0.0,-0.04,0.85,0.24,0.06,1.75,0.69,132.44,43.682962833,-79.420485,0.206,6.175,2.79
video_0001,37,0.17702784000000002,0.0,-0.04,0.85,0.24,0.06,1.75,0.69,132.44,43.682962667,-79.420484833,0.206,6.175,2.79
video_0001,38,0.17702784000000002,0.0,-0.05,0.855,0.24,0.06,0.875,0.25,132.44,43.682962667,-79.420484833,0.206,6.1745,2.79
video_0001,39,0.17702784000000002,0.0,-0.06,0.86,0.24,0.06,0.0,-0.19,132.44,43.682962667,-79.420484833,0.206,6.174,2.79
video_0001,40,0.2414016,0.0,-0.06,0.86,0.24,0.06,0.0,-0.19,132.44,43.6829625,-79.420484833,0.206,6.174,2.79
video_0001,41,0.2414016,0.0,-0.095,0.865,0.24,0.22,-0.78,-0.375,132.44,43.6829625,-79.420484833,0.2065,6.174,2.79
video_0001,42,0.2414016,0.0,-0.13,0.87,0.24,0.38,-1.56,-0.56,132.44,43.6829625,-79.420484833,0.207,6.174,2.79
video_0001,43,0.2414016,0.0,-0.13,0.87,0.24,0.38,-1.56,-0.56,132.44,43.6829625,-79.420484833,0.207,6.174,2.79
video_0001,44,0.6276441600000001,0.0,-0.13,0.87,0.24,0.38,-1.56,-0.56,132.44,43.682962333,-79.420484833,0.207,6.174,2.79
video_0001,45,0.6276441600000001,0.0,0.0,0.84,0.24,0.19,2.56,1.06,132.44,43.682962333,-79.420484833,0.207,6.174,2.79
video_0001,46,0.2414016,0.0,0.0,0.84,0.24,0.19,2.56,1.06,132.44,43.6829625,-79.420484167,0.207,6.174,2.79
video_0001,47,0.2414016,0.0,-0.02,0.845,0.245,0.065,0.59,0.28,132.44,43.6829625,-79.420484167,0.207,6.1745,2.79
video_0001,48,0.2414016,0.0,-0.04,0.85,0.25,-0.06,-1.38,-0.5,132.44,43.6829625,-79.420484167,0.207,6.175,2.79
video_0001,49,0.28968192,0.0,-0.04,0.85,0.25,-0.06,-1.38,-0.5,132.44,43.682962667,-79.4204835,0.207,6.175,2.79
video_0001,50,0.28968192,0.0,-0.075,0.855,0.25,-0.185,-1.285,-0.595,132.44,43.682962667,-79.4204835,0.2075,6.175,2.79
video_0001,51,0.28968192,0.0,-0.11,0.86,0.25,-0.31,-1.19,-0.69,132.44,43.682962667,-79.4204835,0.208,6.175,2.79
video_0001,52,0.17702784000000002,0.0,-0.11,0.86,0.25,-0.31,-1.19,-0.69,132.44,43.682962333,-79.420483833,0.208,6.175,2.79
video_0001,53,0.17702784000000002,0.0,-0.11,0.86,0.25,-0.31,-1.19,-0.69,132.44,43.682962333,-79.420483833,0.208,6.175,2.79
video_0001,54,0.17702784000000002,0.0,-0.01,0.84,0.24,0.25,3.06,1.12,132.44,43.682962333,-79.420483833,0.208,6.176,2.79
video_0001,55,0.30577536000000005,0.0,-0.01,0.84,0.24,0.25,3.06,1.12,132.44,43.682962167,-79.420483833,0.208,6.176,2.79
video_0001,56,0.30577536000000005,0.0,-0.01,0.84,0.24,0.25,3.06,1.12,132.44,43.682962167,-79.420483833,0.208,6.176,2.79
video_0001,57,0.30577536000000005,0.0,-0.06,0.86,0.24,0.0,2.0,0.81,132.44,43.682962167,-79.420483833,0.209,6.175,2.79
video_0001,58,0.20921472000000002,0.0,-0.06,0.86,0.24,0.0,2.0,0.81,132.44,43.682961667,-79.420484333,0.209,6.175,2.79
video_0001,59,0.20921472000000002,0.0,-0.06,0.86,0.24,0.0,2.0,0.81,132.44,43.682961667,-79.420484333,0.209,6.175,2.79
video_0001,60,0.20921472000000002,0.0,-0.13,0.87,0.23,0.06,-0.81,-0.44,132.44,43.682961667,-79.420484333,0.209,6.175,2.79
video_0001,61,0.16093440000000003,0.0,-0.13,0.87,0.23,0.06,-0.81,-0.44,132.44,43.682961667,-79.420484667,0.209,6.175,2.79
video_0001,62,0.16093440000000003,0.0,-0.13,0.87,0.23,0.06,-0.81,-0.44,132.44,43.682961667,-79.420484667,0.209,6.175,2.79
video_0001,63,0.16093440000000003,0.0,-0.12,0.87,0.23,0.25,-1.88,-0.88,132.44,43.682961667,-79.420484667,0.209,6.175,2.79
video_0001,64,0.09656064,0.0,-0.12,0.87,0.23,0.25,-1.88,-0.88,132.44,43.682961333,-79.420484833,0.209,6.175,2.79
video_0001,65,0.09656064,0.0,-0.12,0.87,0.23,0.25,-1.88,-0.88,132.44,43.682961333,-79.420484833,0.209,6.175,2.79
video_0001,66,0.09656064,0.0,-0.1,0.87,0.24,-0.06,1.44,0.19,132.44,43.682961333,-79.420484833,0.211,6.174,2.79
video_0001,67,0.27358848,0.0,-0.1,0.87,0.24,-0.06,1.44,0.19,132.44,43.682961333,-79.4204845,0.211,6.174,2.79
video_0001,68,0.27358848,0.0,-0.06,0.86,0.24,-0.03,0.91,0.0,132.44,43.682961333,-79.4204845,0.2115,6.1745,2.79
video_0001,69,0.27358848,0.0,-0.02,0.85,0.24,0.0,0.38,-0.19,132.44,43.682961333,-79.4204845,0.212,6.175,2.79
video_0001,70,0.20921472000000002,0.0,-0.02,0.85,0.24,0.0,0.38,-0.19,132.44,43.682961,-79.4204845,0.212,6.175,2.79
video_0001,71,0.20921472000000002,0.0,-0.02,0.85,0.24,0.0,0.38,-0.19,132.44,43.682961,-79.4204845,0.212,6.175,2.79
video_0001,72,0.20921472000000002,0.0,-0.08,0.86,0.24,-0.06,-0.19,-0.5,132.44,43.682961,-79.4204845,0.212,6.175,2.79
video_0001,73,0.21726144000000003,0.0,-0.08,0.86,0.24,-0.06,-0.19,-0.5,132.44,43.68296075,-79.4204845835,0.212,6.175,2.79
video_0001,74,0.22530816000000004,0.0,-0.08,0.86,0.24,-0.06,-0.19,-0.5,132.44,43.6829605,-79.420484667,0.212,6.175,2.79
video_0001,75,0.22530816000000004,0.0,-0.08,0.86,0.24,0.0,-0.81,-0.38,132.44,43.6829605,-79.420484667,0.213,6.176,2.79
video_0001,76,0.17702784000000002,0.0,-0.08,0.86,0.24,0.0,-0.81,-0.38,132.44,43.682960333,-79.420484333,0.213,6.176,2.79
video_0001,77,0.17702784000000002,0.0,-0.075,0.86,0.24,0.06,-0.185,-0.16,132.44,43.682960333,-79.420484333,0.213,6.176,2.79
video_0001,78,0.17702784000000002,0.0,-0.07,0.86,0.24,0.12,0.44,0.06,132.44,43.682960333,-79.420484333,0.213,6.176,2.79
video_0001,79,0.12874752,0.0,-0.07,0.86,0.24,0.12,0.44,0.06,132.44,43.682960167,-79.4204845,0.213,6.176,2.79
video_0001,80,0.12874752,0.0,-0.07,0.86,0.24,0.12,0.44,0.06,132.44,43.682960167,-79.4204845,0.213,6.176,2.79
video_0001,81,0.12874752,0.0,-0.07,0.87,0.25,0.0,-0.06,-0.12,132.44,43.682960167,-79.4204845,0.214,6.176,2.79
video_0001,82,0.27358848,0.0,-0.07,0.87,0.25,0.0,-0.06,-0.12,132.44,43.68296,-79.420484167,0.214,6.176,2.79
video_0001,83,0.27358848,0.0,-0.07,0.87,0.25,0.0,-0.06,-0.12,132.44,43.68296,-79.420484167,0.214,6.176,2.79
video_0001,84,0.27358848,0.0,-0.07,0.85,0.25,0.0,0.0,-0.06,132.44,43.68296,-79.420484167,0.215,6.176,2.79
video_0001,85,0.32186880000000007,0.0,-0.07,0.85,0.25,0.0,0.0,-0.06,132.44,43.682959833,-79.420483833,0.215,6.176,2.79
video_0001,86,0.32186880000000007,0.0,-0.07,0.85,0.25,0.0,0.0,-0.06,132.44,43.682959833,-79.420483833,0.215,6.176,2.79
video_0001,87,0.32186880000000007,0.0,-0.07,0.85,0.25,0.06,-0.06,-0.12,132.44,43.682959833,-79.420483833,0.215,6.176,2.79
video_0001,88,0.16093440000000003,0.0,-0.07,0.85,0.25,0.06,-0.06,-0.12,132.44,43.682959333,-79.420484,0.215,6.176,2.79
video_0001,89,0.16093440000000003,0.0,-0.07,0.85,0.25,0.06,-0.06,-0.12,132.44,43.682959333,-79.420484,0.215,6.176,2.79
video_0001,90,0.16093440000000003,0.0,-0.06,0.86,0.24,0.19,0.0,0.06,132.44,43.682959333,-79.420484,0.216,6.176,2.79
video_0001,91,0.09656064,0.0,-0.06,0.86,0.24,0.19,0.0,0.06,132.44,43.682959333,-79.420484,0.216,6.176,2.79
video_0001,92,0.09656064,0.0,-0.06,0.86,0.24,0.19,0.0,0.06,132.44,43.682959333,-79.420484,0.216,6.176,2.79
video_0001,93,0.09656064,0.0,-0.06,0.86,0.25,0.0,0.06,-0.12,132.44,43.682959333,-79.420484,0.217,6.176,2.79
video_0001,94,0.402336,0.0,-0.06,0.86,0.25,0.0,0.06,-0.12,132.44,43.682959333,-79.420483667,0.217,6.176,2.79
video_0001,95,0.402336,0.0,-0.06,0.86,0.25,0.0,0.06,-0.12,132.44,43.682959333,-79.420483667,0.217,6.176,2.79
video_0001,96,0.402336,0.0,-0.09,0.85,0.24,0.38,-0.81,-0.44,132.44,43.682959333,-79.420483667,0.217,6.177,2.79
video_0001,97,0.16093440000000003,0.0,-0.09,0.85,0.24,0.38,-0.81,-0.44,132.44,43.682959,-79.420484,0.217,6.177,2.79
video_0001,98,0.16093440000000003,0.0,-0.09,0.85,0.24,0.38,-0.81,-0.44,132.44,43.682959,-79.420484,0.217,6.177,2.79
video_0001,99,0.16093440000000003,0.0,-0.07,0.86,0.24,0.31,0.31,0.0,132.44,43.682959,-79.420484,0.218,6.177,2.79
video_0001,100,0.16093440000000003,0.0,-0.07,0.86,0.24,0.31,0.31,0.0,132.44,43.682958833,-79.420484,0.218,6.177,2.79
video_0001,101,0.16093440000000003,0.0,-0.07,0.86,0.24,0.31,0.31,0.0,132.44,43.682958833,-79.420484,0.218,6.177,2.79
video_0001,102,0.16093440000000003,0.0,-0.04,0.86,0.25,-0.06,1.0,0.0,132.44,43.682958833,-79.420484,0.219,6.177,2.79
video_0001,103,0.16093440000000003,0.0,-0.04,0.86,0.25,-0.06,1.0,0.0,132.44,43.682958833,-79.420484,0.219,6.177,2.79
video_0001,104,0.22530816000000004,0.0,-0.04,0.86,0.25,-0.06,1.0,0.0,132.44,43.682958833,-79.420483833,0.219,6.177,2.79
video_0001,105,0.22530816000000004,0.0,-0.08,0.86,0.24,0.06,-0.5,-0.31,132.44,43.682958833,-79.420483833,0.219,6.176,2.79
video_0001,106,0.22530816000000004,0.0,-0.08,0.86,0.24,0.06,-0.5,-0.31,132.44,43.682958833,-79.420483833,0.219,6.176,2.79
video_0001,107,0.13679424,0.0,-0.075,0.85,0.24,0.155,-0.28,-0.215,132.44,43.68295875,-79.42048375,0.2195,6.176,2.79
video_0001,108,0.04828032,0.0,-0.07,0.84,0.24,0.25,-0.06,-0.12,132.44,43.682958667,-79.420483667,0.22,6.176,2.79
video_0001,109,0.04828032,0.0,-0.07,0.84,0.24,0.25,-0.06,-0.12,132.44,43.682958667,-79.420483667,0.22,6.176,2.79
video_0001,110,0.08046720000000002,0.0,-0.07,0.84,0.24,0.25,-0.06,-0.12,132.44,43.682958333,-79.420483667,0.22,6.176,2.79
video_0001,111,0.08046720000000002,0.0,-0.06,0.85,0.24,-0.12,0.0,-0.19,132.44,43.682958333,-79.420483667,0.22,6.177,2.79
video_0001,112,0.08046720000000002,0.0,-0.06,0.85,0.24,-0.12,0.0,-0.19,132.44,43.682958333,-79.420483667,0.22,6.177,2.79
video_0001,113,0.03218688,0.0,-0.06,0.85,0.24,-0.12,0.0,-0.19,132.44,43.682958,-79.4204835,0.22,6.177,2.79
video_0001,114,0.03218688,0.0,-0.06,0.86,0.24,0.06,0.12,0.0,132.44,43.682958,-79.4204835,0.221,6.177,2.79
video_0001,115,0.03218688,0.0,-0.06,0.86,0.24,0.06,0.12,0.0,132.44,43.682958,-79.4204835,0.221,6.177,2.79
video_0001,116,0.07242048,0.0,-0.065,0.855,0.24,0.03,0.12,0.0,132.44,43.682958,-79.4204834165,0.222,6.177,2.79
video_0001,117,0.11265408000000002,0.0,-0.07,0.85,0.24,0.0,0.12,0.0,132.44,43.682958,-79.420483333,0.223,6.177,2.79
video_0001,118,0.11265408000000002,0.0,-0.07,0.85,0.24,0.0,0.12,0.0,132.44,43.682958,-79.420483333,0.223,6.177,2.79
video_0001,119,0.14484096,0.0,-0.07,0.85,0.24,0.0,0.12,0.0,132.44,43.682957667,-79.420483333,0.223,6.177,2.79
video_0001,120,0.14484096,0.0,-0.07,0.85,0.24,0.19,-0.12,0.0,132.44,43.682957667,-79.420483333,0.223,6.177,2.79
video_0001,121,0.14484096,0.0,-0.07,0.85,0.24,0.19,-0.12,0.0,132.44,43.682957667,-79.420483333,0.223,6.177,2.79
video_0001,122,0.08046720000000002,0.0,-0.07,0.85,0.24,0.19,-0.12,0.0,132.44,43.6829575,-79.420483333,0.223,6.177,2.79
video_0001,123,0.08046720000000002,0.0,-0.06,0.86,0.24,-0.12,0.31,0.0,132.44,43.6829575,-79.420483333,0.224,6.177,2.79
video_0001,124,0.08046720000000002,0.0,-0.06,0.86,0.24,-0.12,0.31,0.0,132.44,43.6829575,-79.420483333,0.224,6.177,2.79
video_0001,125,0.09656064,0.0,-0.065,0.86,0.24,-0.06,0.155,-0.06,132.44,43.6829574165,-79.420483333,0.2245,6.177,2.79
video_0001,126,0.11265408000000002,0.0,-0.07,0.86,0.24,0.0,0.0,-0.12,132.44,43.682957333,-79.420483333,0.225,6.177,2.79
video_0001,127,0.11265408000000002,0.0,-0.07,0.86,0.24,0.0,0.0,-0.12,132.44,43.682957333,-79.420483333,0.225,6.177,2.79
video_0001,128,0.09656064,0.0,-0.07,0.86,0.24,0.0,0.0,-0.12,132.44,43.682957333,-79.42048325,0.225,6.177,2.79
video_0001,129,0.08046720000000002,0.0,-0.07,0.86,0.24,0.0,0.0,-0.12,132.44,43.682957333,-79.420483167,0.225,6.177,2.79
video_0001,130,0.08046720000000002,0.0,-0.07,0.86,0.25,0.0,-0.12,-0.12,132.44,43.682957333,-79.420483167,0.225,6.177,2.79
video_0001,131,0.08851392000000001,0.0,-0.07,0.86,0.25,0.0,-0.12,-0.12,132.44,43.68295725,-79.4204830835,0.225,6.177,2.79
video_0001,132,0.09656064,0.0,-0.07,0.86,0.25,0.0,-0.12,-0.12,132.44,43.682957167,-79.420483,0.225,6.177,2.79
video_0001,133,0.09656064,0.0,-0.07,0.86,0.24,0.0,0.0,0.0,132.44,43.682957167,-79.420483,0.226,6.177,2.79
video_0001,134,0.135989568,0.0,-0.07,0.86,0.24,0.0,0.0,0.0,132.44,43.6829570835,-79.4204830835,0.226,6.177,2.79
video_0001,135,0.20921472000000002,0.0,-0.07,0.86,0.24,0.0,0.0,0.0,132.44,43.682957,-79.420483167,0.226,6.177,2.79
video_0001,136,0.28968192,0.0,-0.07,0.85,0.24,0.31,0.0,-0.06,132.44,43.682957,-79.420482833,0.226,6.178,2.79
video_0001,137,0.28968192,0.0,-0.07,0.85,0.24,0.31,0.0,-0.06,132.44,43.682957,-79.420482833,0.226,6.178,2.79
video_0001,138,0.28968192,0.0,-0.07,0.85,0.24,0.31,0.0,-0.06,132.44,43.682957,-79.420482833,0.226,6.178,2.79
video_0001,139,0.28968192,0.0,-0.07,0.86,0.24,0.12,0.12,0.0,132.44,43.682957,-79.420482833,0.227,6.178,2.79
video_0001,140,0.20921472000000002,0.0,-0.07,0.86,0.24,0.12,0.12,0.0,132.44,43.6829569165,-79.42048275,0.227,6.178,2.79
video_0001,141,0.12874752,0.0,-0.07,0.86,0.24,0.12,0.12,0.0,132.44,43.682956833,-79.420482667,0.227,6.178,2.79
video_0001,142,0.12874752,0.0,-0.07,0.86,0.25,0.0,-0.19,-0.19,132.44,43.682956833,-79.420482667,0.228,6.178,2.79
video_0001,143,0.23335488,0.0,-0.07,0.86,0.25,0.0,-0.19,-0.19,132.44,43.6829566665,-79.4204826124038,0.228,6.178,2.79
video_0001,144,0.33796224,0.0,-0.07,0.86,0.25,0.0,-0.19,-0.19,132.44,43.6829565,-79.4204825,0.228,6.178,2.79
video_0001,145,0.11265408000000002,0.0,-0.08,0.85,0.24,0.12,-0.25,-0.19,132.44,43.6829565,-79.420482333,0.228,6.178,2.79
video_0001,146,0.11265408000000002,0.0,-0.08,0.85,0.24,0.12,-0.25,-0.19,132.44,43.6829565,-79.420482333,0.228,6.178,2.79
video_0001,147,0.11265408000000002,0.0,-0.08,0.85,0.24,0.12,-0.25,-0.19,132.44,43.6829565,-79.420482333,0.228,6.178,2.79
video_0001,148,0.11265408000000002,0.0,-0.07,0.86,0.24,0.12,0.0,-0.12,132.44,43.6829565,-79.420482333,0.229,6.178,2.79
video_0001,149,0.09656064,0.0,-0.07,0.86,0.24,0.12,0.0,-0.12,132.44,43.682956445337,-79.420482333,0.229,6.178,2.79
video_0001,150,0.08046720000000002,0.0,-0.07,0.86,0.24,0.12,0.0,-0.12,132.44,43.682956333,-79.420482333,0.229,6.178,2.79
video_0001,151,0.09656064,0.0,-0.08,0.86,0.24,0.0,-0.12,-0.19,132.44,43.682956167,-79.420482167,0.23,6.178,2.79
video_0001,152,0.09656064,0.0,-0.08,0.86,0.24,0.0,-0.12,-0.19,132.44,43.682956167,-79.420482167,0.23,6.178,2.79
video_0001,153,0.09656064,0.0,-0.08,0.86,0.24,0.0,-0.12,-0.19,132.44,43.682956167,-79.420482167,0.23,6.178,2.79
video_0001,154,0.09656064,0.0,-0.07,0.86,0.25,-0.25,0.12,0.0,132.44,43.682956167,-79.420482167,0.23,6.178,2.79
video_0001,155,0.11265408000000002,0.0,-0.07,0.855,0.245,0.065,0.09,-0.06,132.44,43.682956167,-79.4204821192602,0.23,6.178,2.79
video_0001,156,0.12874752,0.0,-0.07,0.85,0.24,0.38,0.06,-0.12,132.44,43.682956167,-79.420482,0.23,6.178,2.79
video_0001,157,0.09656064,0.0,-0.07,0.85,0.24,0.38,0.06,-0.12,132.44,43.682956167,-79.420481667,0.23,6.178,2.79
video_0001,158,0.09656064,0.0,-0.07,0.85,0.24,0.38,0.06,-0.12,132.44,43.682956167,-79.420481667,0.23,6.178,2.79
video_0001,159,0.09656064,0.0,-0.07,0.86,0.24,0.06,0.0,0.0,132.44,43.682956167,-79.420481667,0.231,6.178,2.79
video_0001,160,0.12874752,0.0,-0.07,0.86,0.24,0.06,0.0,0.0,132.44,43.682956,-79.420481333,0.231,6.178,2.79
video_0001,161,0.12874752,0.0,-0.07,0.86,0.24,0.06,0.0,0.0,132.44,43.682956,-79.420481333,0.231,6.178,2.79
video_0001,162,0.12874752,0.0,-0.06,0.85,0.25,0.0,0.25,0.19,132.44,43.682956,-79.420481333,0.232,6.178,2.79
video_0001,163,0.14484096,0.0,-0.06,0.85,0.25,0.0,0.25,0.19,132.44,43.6829560835,-79.4204811665,0.232,6.178,2.79
video_0001,164,0.16093440000000003,0.0,-0.06,0.85,0.25,0.0,0.25,0.19,132.44,43.682956167,-79.420481,0.232,6.178,2.79
video_0001,165,0.16093440000000003,0.0,-0.08,0.86,0.24,0.12,-0.56,-0.25,132.44,43.682956167,-79.420481,0.232,6.18,2.79
video_0001,166,0.20921472000000002,0.0,-0.08,0.86,0.24,0.12,-0.56,-0.25,132.44,43.682956,-79.420480667,0.232,6.18,2.79
video_0001,167,0.20921472000000002,0.0,-0.06,0.85,0.25,0.0,0.0649999999999999,-0.065,132.44,43.682956,-79.420480667,0.2325,6.18,2.79
video_0001,168,0.20921472000000002,0.0,-0.04,0.84,0.26,-0.12,0.69,0.12,132.44,43.682956,-79.420480667,0.233,6.18,2.79
video_0001,169,0.08046720000000002,0.0,-0.04,0.84,0.26,-0.12,0.69,0.12,132.44,43.682956167,-79.420480167,0.233,6.18,2.79
video_0001,170,0.08046720000000002,0.0,-0.04,0.84,0.26,-0.12,0.69,0.12,132.44,43.682956167,-79.420480167,0.233,6.18,2.79
video_0001,171,0.08046720000000002,0.0,-0.09,0.87,0.24,0.19,-1.06,-0.62,132.44,43.682956167,-79.420480167,0.233,6.178,2.79
video_0001,172,0.16093440000000003,0.0,-0.09,0.87,0.24,0.19,-1.06,-0.62,132.44,43.682956333,-79.420479333,0.233,6.178,2.79
video_0001,173,0.16093440000000003,0.0,-0.09,0.87,0.24,0.19,-1.06,-0.62,132.44,43.682956333,-79.420479333,0.233,6.178,2.79
video_0001,174,0.16093440000000003,0.0,-0.09,0.87,0.24,-0.06,-1.0,-0.5,132.44,43.682956333,-79.420479333,0.233,6.178,2.79
video_0001,175,0.06437376,0.0,-0.09,0.87,0.24,-0.06,-1.0,-0.5,132.44,43.682956333,-79.420479167,0.233,6.178,2.79
video_0001,176,0.06437376,0.0,-0.08,0.86,0.24,0.0,-0.56,-0.345,132.44,43.682956333,-79.420479167,0.234,6.178,2.79
video_0001,177,0.06437376,0.0,-0.07,0.85,0.24,0.06,-0.12,-0.19,132.44,43.682956333,-79.420479167,0.235,6.178,2.79
video_0001,178,0.30577536000000005,0.0,-0.07,0.85,0.24,0.06,-0.12,-0.19,132.44,43.682956833,-79.420477833,0.235,6.178,2.79
video_0001,179,0.30577536000000005,0.0,-0.07,0.85,0.24,0.06,-0.12,-0.19,132.44,43.682956833,-79.420477833,0.235,6.178,2.79
video_0001,180,0.30577536000000005,0.0,-0.04,0.85,0.23,0.25,0.94,0.06,132.44,43.682956833,-79.420477833,0.235,6.18,2.79
video_0001,181,0.04828032,0.0,-0.04,0.85,0.23,0.25,0.94,0.06,132.44,43.682957333,-79.420476833,0.235,6.18,2.79
video_0001,182,0.04828032,0.0,-0.055,0.855,0.235,0.155,0.44,0.0,132.44,43.682957333,-79.420476833,0.235,6.179,2.79
video_0001,183,0.04828032,0.0,-0.07,0.86,0.24,0.06,-0.06,-0.06,132.44,43.682957333,-79.420476833,0.235,6.178,2.79
video_0001,184,0.11265408000000002,0.0,-0.07,0.86,0.24,0.06,-0.06,-0.06,132.44,43.682958167,-79.420475333,0.235,6.178,2.79
video_0001,185,0.11265408000000002,0.0,-0.07,0.86,0.24,0.06,-0.06,-0.06,132.44,43.682958167,-79.420475333,0.235,6.178,2.79
video_0001,186,0.11265408000000002,0.0,-0.09,0.86,0.24,0.0,-0.88,-0.31,132.44,43.682958167,-79.420475333,0.236,6.178,2.79
